codigo|bairro
0|NAO INFORMADO
1|Alto do Cruzeiro
2|Baixa Grande
3|Baixao
4|Boa Vista
5|Brasilia
6|Brasiliana
7|Cacimbas
8|CAITITUS
9|Canafístula
10|Capiata
11|Cavaco
12|Centro
13|Eldorado
14|Guaribas
15|Itapoa
16|Jardim Esperanca
17|Jardim Tropical
18|MANGABEIRAS
19|MANUEL TELES
20|Nova Esperanca
21|Novo Horizonte
22|Olho DAgua dos Cazuzinhas
23|Ouro Preto
24|Planalto
25|Primavera
26|Santa Edwiges
27|Santa Esmeralda
28|Sao Luiz
29|Sao Luiz II
30|Sen. Arnon de Melo
31|Sen. Nilo Coelho
32|Sen. Teotonio Vilela
33|Verdes Campos
34|Zelia Barbosa Rocha
35|Jardim de Maria
36|ZONA RURAL
37|DISTRITO INDUSTRIAL
38|CANAA
39|BAIXA GRANDE DE CIMA
40|OLHO DAGUA DOS CAZUZINHOS
41|SITIO MUNDO NOVO
42|SANTA EDWIRGENS
43|SITIO LAGOA DO POÇÃO
44|POV. PAU DARCO
45|POVOADO BAIXA GRANDE DE CIMA
46|SITIO GENIPAPO
47|BAIXA GRANDE DE CIMA
48|Massaranduba
49|BAIXA DA AREIA
50|SITIO BOM NOME
51|Bom Sucesso
52|LAGOA DO RANCHO
54|VILA SAO JOSE
55|TABOQUINHA
56|BAIXA DO CAPIM
57|VILA SAO FRANCISCO
58|VILA BANANEIRA
59|JARDIM DAS PAINEIRAS
60|FORA DO MUNICIPIO
61|ANTONICA
62|POV PAU FERRO
63|POVOADO BATINGAS
64|PADRE ANTONIO LIMA NETO
65|SANTA EDWIRGES 
66|SITIO ALAZAO
67|SITIO BATINGAS
68|LAGOA DAGUA
69|POVOADO CORREDOR
70|POVOADO BALSAMO
71|POVOADO BAIXA DA ONCA
72|SERROTE DO JOAO DIAS
73|POVOADO BAIXA DO CAPIM
74|ALPHAVALLE
75|SITIO INGA
76|PADRE ANTONIO LIMA
77|POCAO
78|SITIO BOM JARDIM
79|POVOADO PAI JOÃO
80|JOAO PAULO II
81|CAPIM
82|VILA FERNANDES
83|ALAZAO
84|BATINGAS
85|DEPUTADO NEZINHO
86|POLO MOVELEIRO
88|CANGANDU
90|
91|SENADOR ARNON DE MELO
92|SANT
93|SANT
94|SANT
95|SANT
96|SANT
97|SANT
98|SANT
99|SANT
999|IMPLANTACAO DO SISTEMA
