"id","nome","codigo_ibge","estado_id"
"1","ACRELÂNDIA","1200013","1"
"2","ASSIS BRASIL","1200054","1"
"3","BRASILÉIA","1200104","1"
"4","BUJARI","1200138","1"
"5","CAPIXABA","1200179","1"
"6","CRUZEIRO DO SUL","1200203","1"
"7","EPITACIOLÂNDIA","1200252","1"
"8","FEIJÓ","1200302","1"
"9","JORDÃO","1200328","1"
"10","MÂNCIO LIMA","1200336","1"
"11","MANOEL URBANO","1200344","1"
"12","MARECHAL THAUMATURGO","1200351","1"
"13","PLÁCIDO DE CASTRO","1200385","1"
"14","PORTO ACRE","1200807","1"
"15","PORTO WALTER","1200393","1"
"16","RIO BRANCO","1200401","1"
"17","RODRIGUES ALVES","1200427","1"
"18","SANTA ROSA DO PURUS","1200435","1"
"19","SENA MADUREIRA","1200500","1"
"20","SENADOR GUIOMARD","1200450","1"
"21","TARAUACÁ","1200609","1"
"22","XAPURI","1200708","1"
"23","ÁGUA BRANCA","2700102","2"
"24","ANADIA","2700201","2"
"25","ARAPIRACA","2700300","2"
"26","ATALAIA","2700409","2"
"27","BARRA DE SANTO ANTÔNIO","2700508","2"
"28","BARRA DE SÃO MIGUEL","2700607","2"
"29","BATALHA","2700706","2"
"30","BELÉM","2700805","2"
"31","BELO MONTE","2700904","2"
"32","BOCA DA MATA","2701001","2"
"33","BRANQUINHA","2701100","2"
"34","CACIMBINHAS","2701209","2"
"35","CAJUEIRO","2701308","2"
"36","CAMPESTRE","2701357","2"
"37","CAMPO ALEGRE","2701407","2"
"38","CAMPO GRANDE","2701506","2"
"39","CANAPI","2701605","2"
"40","CAPELA","2701704","2"
"41","CARNEIROS","2701803","2"
"42","CHÃ PRETA","2701902","2"
"43","COITÉ DO NÓIA","2702009","2"
"44","COLÔNIA LEOPOLDINA","2702108","2"
"45","COQUEIRO SECO","2702207","2"
"46","CORURIPE","2702306","2"
"47","CRAÍBAS","2702355","2"
"48","DELMIRO GOUVEIA","2702405","2"
"49","DOIS RIACHOS","2702504","2"
"50","ESTRELA DE ALAGOAS","2702553","2"
"51","FEIRA GRANDE","2702603","2"
"52","FELIZ DESERTO","2702702","2"
"53","FLEXEIRAS","2702801","2"
"54","GIRAU DO PONCIANO","2702900","2"
"55","IBATEGUARA","2703007","2"
"56","IGACI","2703106","2"
"57","IGREJA NOVA","2703205","2"
"58","INHAPI","2703304","2"
"59","JACARÉ DOS HOMENS","2703403","2"
"60","JACUÍPE","2703502","2"
"61","JAPARATINGA","2703601","2"
"62","JARAMATAIA","2703700","2"
"63","JEQUIÁ DA PRAIA","2703759","2"
"64","JOAQUIM GOMES","2703809","2"
"65","JUNDIÁ","2703908","2"
"66","JUNQUEIRO","2704005","2"
"67","LAGOA DA CANOA","2704104","2"
"68","LIMOEIRO DE ANADIA","2704203","2"
"69","MACEIÓ","2704302","2"
"70","MAJOR ISIDORO","2704401","2"
"71","MAR VERMELHO","2704906","2"
"72","MARAGOGI","2704500","2"
"73","MARAVILHA","2704609","2"
"74","MARECHAL DEODORO","2704708","2"
"75","MARIBONDO","2704807","2"
"76","MATA GRANDE","2705002","2"
"77","MATRIZ DE CAMARAGIBE","2705101","2"
"78","MESSIAS","2705200","2"
"79","MINADOR DO NEGRÃO","2705309","2"
"80","MONTEIRÓPOLIS","2705408","2"
"81","MURICI","2705507","2"
"82","NOVO LINO","2705606","2"
"83","OLHO D AGUA DAS FLORES","2705705","2"
"84","OLHO D AGUA DO CASADO","2705804","2"
"85","OLHO D AGUA GRANDE","2705903","2"
"86","OLIVENÇA","2706000","2"
"87","OURO BRANCO","2706109","2"
"88","PALESTINA","2706208","2"
"89","PALMEIRA DOS ÍNDIOS","2706307","2"
"90","PÃO DE AÇÚCAR","2706406","2"
"91","PARICONHA","2706422","2"
"92","PARIPUEIRA","2706448","2"
"93","PASSO DE CAMARAGIBE","2706505","2"
"94","PAULO JACINTO","2706604","2"
"95","PENEDO","2706703","2"
"96","PIAÇABUÇU","2706802","2"
"97","PILAR","2706901","2"
"98","PINDOBA","2707008","2"
"99","PIRANHAS","2707107","2"
"100","POÇO DAS TRINCHEIRAS","2707206","2"
"101","PORTO CALVO","2707305","2"
"102","PORTO DE PEDRAS","2707404","2"
"103","PORTO REAL DO COLÉGIO","2707503","2"
"104","QUEBRANGULO","2707602","2"
"105","RIO LARGO","2707701","2"
"106","ROTEIRO","2707800","2"
"107","SANTA LUZIA DO NORTE","2707909","2"
"108","SANTANA DO IPANEMA","2708006","2"
"109","SANTANA DO MUNDAÚ","2708105","2"
"110","SÃO BRÁS","2708204","2"
"111","SÃO JOSÉ DA LAJE","2708303","2"
"112","SÃO JOSÉ DA TAPERA","2708402","2"
"113","SÃO LUÍS DO QUITUNDE","2708501","2"
"114","SÃO MIGUEL DOS CAMPOS","2708600","2"
"115","SÃO MIGUEL DOS MILAGRES","2708709","2"
"116","SÃO SEBASTIÃO","2708808","2"
"117","SATUBA","2708907","2"
"118","SENADOR RUI PALMEIRA","2708956","2"
"119","TANQUE D ARCA","2709004","2"
"120","TAQUARANA","2709103","2"
"121","TEOTÔNIO VILELA","2709152","2"
"122","TRAIPU","2709202","2"
"123","UNIÃO DOS PALMARES","2709301","2"
"124","VIÇOSA","2709400","2"
"125","ALVARÃES","1300029","3"
"126","AMATURÁ","1300060","3"
"127","ANAMÃ","1300086","3"
"128","ANORI","1300102","3"
"129","APUÍ","1300144","3"
"130","ATALAIA DO NORTE","1300201","3"
"131","AUTAZES","1300300","3"
"132","BARCELOS","1300409","3"
"133","BARREIRINHA","1300508","3"
"134","BENJAMIN CONSTANT","1300607","3"
"135","BERURI","1300631","3"
"136","BOA VISTA DO RAMOS","1300680","3"
"137","BOCA DO ACRE","1300706","3"
"138","BORBA","1300805","3"
"139","CAAPIRANGA","1300839","3"
"140","CANUTAMA","1300904","3"
"141","CARAUARI","1301001","3"
"142","CAREIRO","1301100","3"
"143","CAREIRO DA VÁRZEA","1301159","3"
"144","COARI","1301209","3"
"145","CODAJÁS","1301308","3"
"146","EIRUNEPÉ","1301407","3"
"147","ENVIRA","1301506","3"
"148","FONTE BOA","1301605","3"
"149","GUAJARÁ","1301654","3"
"150","HUMAITÁ","1301704","3"
"151","IPIXUNA","1301803","3"
"152","IRANDUBA","1301852","3"
"153","ITACOATIARA","1301902","3"
"154","ITAMARATI","1301951","3"
"155","ITAPIRANGA","1302009","3"
"156","JAPURÁ","1302108","3"
"157","JURUÁ","1302207","3"
"158","JUTAÍ","1302306","3"
"159","LÁBREA","1302405","3"
"160","MANACAPURU","1302504","3"
"161","MANAQUIRI","1302553","3"
"162","MANAUS","1302603","3"
"163","MANICORÉ","1302702","3"
"164","MARAÃ","1302801","3"
"165","MAUÉS","1302900","3"
"166","NHAMUNDÁ","1303007","3"
"167","NOVA OLINDA DO NORTE","1303106","3"
"168","NOVO AIRÃO","1303205","3"
"169","NOVO ARIPUANÃ","1303304","3"
"170","PARINTINS","1303403","3"
"171","PAUINI","1303502","3"
"172","PRESIDENTE FIGUEIREDO","1303536","3"
