"id","nome","uf"
"1","ACRE","AC"
"2","ALAGOAS","AL"
"3","AMAZONAS","AM"
"4","AMAPA","AP"
"5","BAHIA","BA"
"6","CEARA","CE"
"7","DISTRITO FEDERAL","DF"
"8","ESPIRITO SANTO","ES"
"9","GOIAS","GO"
"10","MARANHAO","MA"
"11","MINAS GERAIS","MG"
"12","MATO GROSSO DO SUL","MS"
"13","MATO GROSSO","MT"
"14","PARA","PA"
"15","PARAIBA","PB"
"16","PERNAMBUCO","PE"
"17","PIAUI","PI"
"18","PARANA","PR"
"19","RIO DE JANEIRO","RJ"
"20","RIO GRANDE DO NORTE","RN"
"21","RONDONIA","RO"
"22","RORAIMA","RR"
"23","RIO GRANDE DO SUL","RS"
"24","SANTA CATARINA","SC"
"25","SERGIPE","SE"
"26","SAO PAULO","SP"
"27","TOCANTINS","TO"
