codigo|rua
104243|RUA 14/111
4909|RUA AGOSTINHO SEVERINO DOS SANTOS
4976|PRACA PÇA CORONEL JOSÉ DE FARIAS
103889|RUA PAPA BENTO XVI
104328|RUA 15/98
2838|RUA PROFª  ELIANE RODRIGUES DO NASCIMENTO
104334|RUA 11/176
104247|RUA 11/159
2853|RUA MANOEL MESSIAS
104274|RUA 14/123
104040|RUA DOUTORA NISE DA SILVEIRA
3872|RUA UNIVERSITÁRIO JOSE LAELSON DE MELO
105072|RUA 14/170
104194|RUA FRANCISCO XAVIER DE LIMA
7789|RUA ESTUDANTE GIVANILDO BARBOSA LOPES
104146|RUA NOSSA SENHORA DA PAZ
443|RUA VICENTINA IZABEL DO ESPÍRITO SANTO
104312|RUA 06/205
104245|RUA JUAREZ PEREIRA VALÕES
104333|RUA 1401/01
103545|RUA MARIA BETÂNIA DE OLIVEIRA LIMA
103546|RUA RUTH FERNENDES GONÇALVES
104412|RUA 06/221
103555|RUA AURÉLIA GOUVEIRA ALVES
104240|RUA 08/310
103733|RUA MARLÚCIA ALVES DE OLIVEIRA
115|RUA DANIEL PEDRO DOS SANTOS
104393|RUA 1401/02
103635|RUA JOÃO FERREIRA DE LIMA
104051|RUA CLAUDENICE RAIMUNDO ALVES
104246|PRACA JOSÉ URSULINO MALAQUIAS
104248|RUA 11/160
8602|RUA IRENEU VALERIANO  MAGALHAES
104151|RUA NOSSA SENHORA DO SAGRADO CORAÇÃO DE JESU
103496|RUA IVONEIDE IZABEL ARAÚJO DE ALMEIDA
104058|RUA DEOCLECIANO AURÉLIO DE SOUZA
104335|RUA 11/177
103560|RUA MARIA ARAÚJO CAVALCANTE
104413|RUA 06/222
104394|RUA 1401/03
104319|RUA AMANCIO FERREIRA LIMA
104320|RUA IRINEU GOMES MARANHAO
104329|RUA JOSEFA FERREIRA LIMA
104330|RUA PEDRO GENUINO DA SILVA
104357|RUA ENAURA BRITO DE FARIAS
104276|RUA JOAO DE ALBUQUERQUE NUNES NETO
104244|RUA 14/112
104366|RUA JOSE PEREIRA DA SILVA
104309|RUA JOSE GALDINO DOS SANTOS
104324|RUA TEREZINHA ANGELO DE OLIVEIRA
2835|RUA PROFª RÉGIA LENOURA ALVES DOS SANTOS
104249|RUA 11/161
104310|RUA 06/203
5697|AVENI PÃO DE AÇÚCAR
104382|RUA ALIETE SILVA BISPO
105067|RUA 18/143
104153|RUA VEREADOR NASCIMENTO LEÃO
104059|RUA JOÃO ANTÔNIO DA SILVA
566|RUA SITIO SERRA DOS FERREIROS
103683|RUA ORQUÍDEA
104336|RUA 11/178
104381|RUA 06/212
2|RUA JOSE HONORATO
638|RUA ULISSES PEREIRA DE LIMA
1403|RUA LUIZ DUARTE
104041|RUA ARTISTA PLÁSTICO JÚNIOR BORGES
7274|RUA ADJALMO SILVA
1756|RUA FLORO GOMES NOVAES
104395|RUA 1401/04
104414|RUA 06/223
6014|RUA JULIO RAFAEL
577|RUA 15/49
103686|RUA DÁLIA VERMELHA
104250|RUA 11/162
104042|RUA MANUEL ULISSES TEIXEIRA
104311|RUA 06/204
105073|RUA 0106/406
104060|RUA JANUÁRIO LEITE DA SILVA
104337|RUA 11/179
104415|RUA 06/224
105080|RUA 0117/240
104396|RUA 1401/05
7207|RUA NOEL FREIRE
104251|RUA 11/163
105081|RUA 0108/425
104061|RUA JOSÉ LIMA MOTA
104338|RUA 11/180
104384|RUA 06/215
104397|RUA 1401/06
104416|RUA 06/225
104252|RUA 11/164
104044|RUA MÉDICO DANIEL HOULY DE ALMEIDA
