codigo_rua|codigo_bairro
5|36
10020|15
3945|17
646|6
103775|38
9|28
103848|24
93|20
11|34
7673|64
94|30
105082|54
28|4
17|34
105085|54
20|14
36548|30
36551|30
29|36
35|5
36|37
38|36
41|36
42|36
44|30
45|30
32|12
48|30
103430|31
2191|8
2906|28
103901|14
53|30
55|30
56|30
36530|30
171|36
58|24
61|24
62|24
64|24
103682|33
85|14
65|36
10240|17
68|36
70|14
36524|30
103444|9
104319|9
74|4
73|30
36521|30
56|30
76|19
77|36
326|10
80|14
81|30
82|36
84|30
3546|15
86|7
177|14
87|30
71|30
90|27
7088|2
97|28
98|28
103697|33
362|9
100|30
36518|30
101|36
102|7
59|12
2|25
104|43
5328|24
106|30
107|30
108|30
109|30
110|36
111|36
103725|14
114|36
116|36
103486|24
119|15
120|36
122|20
175|36
123|16
103777|2
125|36
126|36
128|20
129|36
131|24
132|27
133|24
57|20
207|51
135|27
137|36
138|36
2051|21
139|2
140|36
3317|29
8866|29
144|24
147|25
2787|28
3988|17
151|22
153|36
154|12
158|29
2892|28
163|37
165|36
166|36
4003|9
167|14
182|36
183|21
184|36
4216|7
174|30
178|27
179|36
181|36
4291|7
187|29
188|36
733|1
659|11
191|11
194|36
195|14
103780|6
104324|31
193|35
200|24
203|30
205|9
5611|24
4321|7
1462|24
2353|8
10348|19
5786|24
2167|8
1900|27
6057|9
3104|20
6138|11
3511|15
911|1
3287|25
601|12
5050|6
482|12
369|12
4208|7
10925|11
4348|25
8629|6
36506|9
6952|16
4712|3
7797|7
7932|9
36669|30
36699|51
6022|9
6081|9
2361|8
3872|17
245|12
10704|31
8670|11
204|35
113|12
2832|24
5441|24
8718|12
9188|24
9196|51
7126|2
3177|33
6596|16
6014|9
1993|21
6189|11
5638|24
1608|5
2701|28
10550|13
8645|11
9820|8
1772|27
3087|34
1926|27
1560|5
4178|7
9544|2
7258|4
7029|2
237|12
6910|16
8610|7
2388|26
4070|7
6227|11
156|12
103493|51
3414|33
1578|5
25|17
504|12
4160|25
660|32
5794|24
7681|22
3366|24
37|38
10321|30
8726|11
2035|21
3295|29
652|32
3538|15
7045|2
6766|16
2337|8
2604|26
10305|2
393|12
9218|9
7568|25
5344|24
1810|27
520|12
7193|2
1977|21
1349|5
7347|4
4976|3
1829|27
10313|30
512|12
3570|15
3562|15
1586|5
1640|5
4062|23
3368|14
2086|21
6812|16
4631|19
1837|1
6820|2
92|4
4402|25
5484|24
2280|26
5590|24
3392|33
7665|25
423|12
1047|1
6740|16
5859|30
580|12
407|12
1381|5
1420|1
9099|5
6804|16
776|1
6758|16
2965|20
1209|5
1721|27
1918|27
6219|11
91|12
3520|15
9277|17
1292|5
1934|27
7657|7
5964|9
2396|26
3291|7
7398|4
3899|17
4399|7
3937|17
3902|17
6626|16
539|12
334|12
5220|13
5956|9
610|12
1519|23
3589|15
753|30
1233|5
3724|15
415|12
385|12
4356|25
5433|24
3198|17
4925|19
5026|6
3236|17
4615|19
814|1
7282|4
8971|11
5182|13
7037|2
8840|29
36617|30
2957|20
9048|5
4780|19
1020|5
5352|24
160|5
10780|51
5980|9
4518|19
342|12
67|12
2833|28
2523|10
2647|28
1438|23
2299|8
4453|3
199|12
2329|8
1063|12
6456|34
121|3
3120|20
6995|16
377|12
7380|4
5778|24
9358|24
10690|31
1330|5
5174|13
2680|28
3007|20
7240|16
3342|30
9170|51
6286|11
474|12
7908|24
1527|23
253|12
4046|5
2264|32
6901|16
6308|11
6898|16
3129|6
962|1
3805|5
270|12
36404|11
7789|33
7916|14
7410|25
903|1
5999|9
1357|5
103494|51
8874|29
2450|10
3210|17
4852|13
7770|19
1403|5
695|1
10682|31
5123|13
9285|13
3503|15
9315|24
4585|19
10003|14
10364|14
3345|30
5522|24
6162|11
3058|20
1195|5
1489|23
3821|5
3996|17
9439|8
4054|17
2540|10
6324|11
2426|26
3341|29
9340|24
9307|7
5913|9
10445|27
5573|24
628|12
7487|25
1152|23
2744|28
2671|28
6790|16
6120|11
5840|30
5131|13
5239|24
4763|19
5204|6
4747|19
4542|19
1632|5
1683|5
10518|13
7835|7
954|1
5743|24
1314|5
5425|24
5336|24
3953|17
3830|5
2826|24
4488|3
3929|17
7401|25
288|12
4330|25
4690|13
4941|13
1748|27
3422|33
4798|19
873|12
6928|16
4470|3
36401|11
1624|5
10844|9
1446|23
3759|5
4674|19
1373|5
8750|28
7355|4
1306|5
2590|26
7860|34
3023|20
5948|9
6570|16
3112|20
148|12
4666|19
4097|25
1004|1
2639|28
9153|15
7452|25
2060|21
78|24
2531|10
784|1
8807|30
970|1
4119|7
7312|4
6146|11
4577|19
6391|34
3970|17
4020|17
806|1
1535|5
3384|33
6235|11
8858|29
1780|27
6529|16
5875|30
79|9
5905|9
7878|34
6421|34
4909|19
6642|27
10909|27
36672|6
6448|34
9625|24
3490|15
7185|2
3597|15
3449|33
5476|24
7541|25
4828|13
127|9
4895|3
229|12
2132|35
10208|2
7703|22
9684|2
4607|19
6510|34
7533|25
36629|30
130|12
4410|13
5620|24
2469|10
5360|24
7827|29
3084|34
7207|2
2302|8
1055|32
849|5
1659|5
1039|5
1497|23
9668|11
10836|9
83|12
4500|19
5549|24
7053|2
9633|21
2663|28
7606|7
2779|28
4801|19
4682|13
9560|2
8947|19
468|12
938|1
5069|13
4658|19
10801|51
2400|8
4038|17
6863|16
4534|19
4569|19
4550|19
8688|51
4186|7
2868|28
1136|23
6111|16
6600|16
4496|3
4267|7
300|12
3072|34
5514|24
4240|7
8980|11
9072|5
5310|24
7118|2
5581|24
2248|32
920|1
3740|5
9331|24
1144|23
3856|5
5662|24
563|12
4127|25
1896|27
10542|13
5417|24
10402|27
636|8
5107|13
1500|28
3430|33
2655|28
5468|24
4887|3
75|12
8637|21
5247|24
5271|24
4275|7
7320|4
2310|8
2825|28
1845|27
666|14
5816|24
5379|24
2213|8
1225|5
1128|23
7266|4
1110|23
5085|13
7517|25
1390|5
1888|27
7169|2
4720|3
1543|5
1071|12
180|12
3244|17
1268|5
466|12
6944|16
7231|2
3063|34
1969|21
9838|8
7843|1
5140|13
3864|5
768|12
4704|19
350|12
9498|8
7002|2
5255|24
6260|11
5093|13
567|36
4771|19
5450|24
1764|27
4100|7
10224|11
5735|24
10860|9
9420|26
8769|29
5727|24
3961|17
9269|22
8793|11
1551|5
2566|10
3554|15
2698|28
103535|54
2027|21
26|36
3051|34
7444|25
4429|13
105|12
5018|6
172|3
598|12
4810|13
5670|24
2345|8
5565|24
9226|5
5930|9
1080|12
1098|25
5808|24
3880|17
6251|11
7460|25
2990|20
10232|17
2230|8
644|1
2221|8
6847|16
2914|28
7223|2
7371|4
4151|7
4623|19
6065|9
7142|2
2752|28
665|33
5603|24
103542|4
7711|22
10038|22
9374|24
10607|11
10089|22
9595|24
5972|9
6936|16
547|12
8831|2
36491|20
6782|16
9293|9
9536|2
8904|29
9463|26
7959|9
440|12
10526|13
10267|33
8653|11
8823|51
4968|19
2418|26
9323|24
7061|2
4739|19
6073|9
3465|15
3600|15
10119|11
7690|22
7886|34
4194|7
3406|33
5891|9
89|20
5042|6
1950|21
9145|15
741|1
9064|5
5921|9
8661|11
261|12
5166|13
150|4
6669|16
5824|24
3350|14
9390|11
3123|6
2515|10
10569|27
1799|27
1217|5
9129|27
9617|24
24|12
8700|21
3783|5
10674|31
3276|27
6553|16
2078|21
5867|30
1730|27
7304|4
2205|32
7630|25
3015|20
7509|25
2844|24
3767|5
103536|54
7134|2
103683|33
209|36
7924|80
103445|9
12|11
215|36
216|4
219|4
